Notes,State,StateCode,TenYearAgeGroups,TenYearAgeGroupsCode,Gender,GenderCode,Race,RaceCode,Deaths,Population,CrudeRate
,Alabama,01,5-14 years,5-14,Female,F,White,2106-3,24,3806104,0.6
,Alabama,01,5-14 years,5-14,Male,M,Black or African American,2054-5,27,1923557,1.4
,Alabama,01,5-14 years,5-14,Male,M,White,2106-3,43,4016345,1.1
,Alabama,01,15-24 years,15-24,Female,F,Black or African American,2054-5,24,2065832,1.2
,Alabama,01,15-24 years,15-24,Female,F,White,2106-3,160,4017108,4.0
,Alabama,01,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,10,92376,Unreliable
,Alabama,01,15-24 years,15-24,Male,M,Black or African American,2054-5,281,1979316,14.2
,Alabama,01,15-24 years,15-24,Male,M,White,2106-3,964,4203447,22.9
,Alabama,01,25-34 years,25-34,Female,F,Black or African American,2054-5,36,1775298,2.0
,Alabama,01,25-34 years,25-34,Female,F,White,2106-3,291,3923644,7.4
,Alabama,01,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,11,102739,Unreliable
,Alabama,01,25-34 years,25-34,Male,M,Black or African American,2054-5,276,1507624,18.3
,Alabama,01,25-34 years,25-34,Male,M,White,2106-3,1302,4021694,32.4
,Alabama,01,35-44 years,35-44,Female,F,Black or African American,2054-5,33,1733739,1.9
,Alabama,01,35-44 years,35-44,Female,F,White,2106-3,481,4280914,11.2
,Alabama,01,35-44 years,35-44,Male,M,Black or African American,2054-5,164,1425130,11.5
,Alabama,01,35-44 years,35-44,Male,M,White,2106-3,1521,4322711,35.2
,Alabama,01,45-54 years,45-54,Female,F,Black or African American,2054-5,22,1699013,1.3
,Alabama,01,45-54 years,45-54,Female,F,White,2106-3,524,4564025,11.5
,Alabama,01,45-54 years,45-54,Male,M,Black or African American,2054-5,127,1418077,9.0
,Alabama,01,45-54 years,45-54,Male,M,White,2106-3,1663,4513170,36.8
,Alabama,01,55-64 years,55-64,Female,F,Black or African American,2054-5,15,1260819,Unreliable
,Alabama,01,55-64 years,55-64,Female,F,White,2106-3,390,4067856,9.6
,Alabama,01,55-64 years,55-64,Male,M,Black or African American,2054-5,88,1033247,8.5
,Alabama,01,55-64 years,55-64,Male,M,White,2106-3,1354,3831257,35.3
,Alabama,01,65-74 years,65-74,Female,F,Black or African American,2054-5,13,763271,Unreliable
,Alabama,01,65-74 years,65-74,Female,F,White,2106-3,176,3026013,5.8
,Alabama,01,65-74 years,65-74,Male,M,Black or African American,2054-5,67,557307,12.0
,Alabama,01,65-74 years,65-74,Male,M,White,2106-3,890,2615869,34.0
,Alabama,01,75-84 years,75-84,Female,F,White,2106-3,98,1944206,5.0
,Alabama,01,75-84 years,75-84,Male,M,Black or African American,2054-5,35,251208,13.9
,Alabama,01,75-84 years,75-84,Male,M,White,2106-3,645,1347223,47.9
,Alabama,01,85+ years,85+,Female,F,White,2106-3,20,787063,2.5
,Alabama,01,85+ years,85+,Male,M,White,2106-3,223,344991,64.6
,Alaska,02,5-14 years,5-14,Male,M,American Indian or Alaska Native,1002-5,11,228120,Unreliable
,Alaska,02,5-14 years,5-14,Male,M,White,2106-3,12,648937,Unreliable
,Alaska,02,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,90,194213,46.3
,Alaska,02,15-24 years,15-24,Female,F,White,2106-3,40,598407,6.7
,Alaska,02,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,318,208058,152.8
,Alaska,02,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,11,75279,Unreliable
,Alaska,02,15-24 years,15-24,Male,M,Black or African American,2054-5,17,65179,Unreliable
,Alaska,02,15-24 years,15-24,Male,M,White,2106-3,251,726128,34.6
,Alaska,02,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,59,150299,39.3
,Alaska,02,25-34 years,25-34,Female,F,White,2106-3,46,644570,7.1
,Alaska,02,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,184,154403,119.2
,Alaska,02,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,18,65754,Unreliable
,Alaska,02,25-34 years,25-34,Male,M,Black or African American,2054-5,21,54978,38.2
,Alaska,02,25-34 years,25-34,Male,M,White,2106-3,271,723788,37.4
,Alaska,02,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,29,136643,21.2
,Alaska,02,35-44 years,35-44,Female,F,White,2106-3,79,665370,11.9
,Alaska,02,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,107,138135,77.5
,Alaska,02,35-44 years,35-44,Male,M,White,2106-3,262,724107,36.2
,Alaska,02,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,19,129926,Unreliable
,Alaska,02,45-54 years,45-54,Female,F,White,2106-3,108,713849,15.1
,Alaska,02,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,82,128618,63.8
,Alaska,02,45-54 years,45-54,Male,M,White,2106-3,280,805806,34.7
,Alaska,02,55-64 years,55-64,Female,F,White,2106-3,59,515316,11.4
,Alaska,02,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,20,85904,23.3
,Alaska,02,55-64 years,55-64,Male,M,White,2106-3,194,603116,32.2
,Alaska,02,65-74 years,65-74,Female,F,White,2106-3,14,237574,Unreliable
,Alaska,02,65-74 years,65-74,Male,M,White,2106-3,90,269135,33.4
,Alaska,02,75-84 years,75-84,Male,M,White,2106-3,52,98984,52.5
,Alaska,02,85+ years,85+,Male,M,White,2106-3,25,23544,106.2
,Arizona,04,5-14 years,5-14,Female,F,American Indian or Alaska Native,1002-5,17,616229,Unreliable
,Arizona,04,5-14 years,5-14,Female,F,White,2106-3,37,6628046,0.6
